Scheme,Category,CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Exp. Ratio(%),6M_Score,1Y_Score,3Y_Score,Performance_Score,Cost_Score,Return_Std,Consistency_Score,Overall_Score,Category_Avg_3Y,3Y_vs_Category,Overall_Rank,Category_Rank,Type,Benchmark,Min. Invest(Rs.),SIP Min. Inv.(Rs.)
Canara Rob Equity Tax Saver Fund-Reg(IDCW),Equity - ELSS,0.83,16.37,13.91,1.98,54.07089151450053,47.769389155799594,66.26506024096386,58.27752517012192,28.735632183908045,9.402982964612448,83.71355576258661,57.25105957168462,10.023387096774194,3.8866129032258065,396,13,Open ended,S&P BSE 500 - TRI,1000.0,1000.0
SBI Conservative Hybrid Fund-Reg(A-IDCW),Hybrid - Conservative Hybrid Fund,5.32,9.91,7.53,1.11,63.71643394199785,36.68496911461908,43.65698086463501,45.5772679551028,62.06896551724137,14.033832312897152,75.69268940916028,57.229047709151814,5.775925925925925,1.754074074074075,397,3,Open ended,NIFTY 50 Hybrid Composite Debt 15:85 Index,5000.0,1000.0
SBI Conservative Hybrid Fund-Reg(Q-IDCW),Hybrid - Conservative Hybrid Fund,5.31,9.91,7.51,1.11,63.69495166487648,36.68496911461908,43.58610914245216,45.5375356385871,62.06896551724137,14.032880665545411,75.69433771072438,57.209593626284985,5.775925925925925,1.7340740740740745,398,4,Open ended,NIFTY 50 Hybrid Composite Debt 15:85 Index,5000.0,1000.0
Edelweiss Liquid Fund-Reg(W-IDCW),Debt - Liquid Fund,5.04,3.94,4.3,0.39,63.11493018259935,26.441317776252575,32.21119773210489,36.66098023544809,89.65517241379311,19.72006609610138,65.84384359293597,57.205244119406316,4.42803738317757,-0.12803738317757052,399,100,Open ended,Nifty Liquid Fund Index,5000.0,1000.0
HDFC Balanced Advantage Fund(IDCW),Hybrid - Balanced Advantage,14.45,17.67,10.76,1.65,83.32975295381311,50.0,55.10276399716513,59.21733258934519,41.37931034482758,17.952128647840556,68.90600107792739,57.17999415036134,7.937894736842105,2.822105263157895,400,2,Open ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,1000.0,1000.0
IDFC Ultra Short Term Fund-Reg(G),Debt - Ultra Short Duration Fund,5.72,4.76,4.42,0.43,64.57572502685285,27.848318462594374,32.63642806520198,37.587854576749876,88.12260536398468,19.966417959945645,65.41714964821841,57.17886604142571,4.4264935064935065,-0.006493506493506551,401,4,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
Aditya Birla SL Savings Fund-Reg(DD-IDCW),Debt - Ultra Short Duration Fund,5.96,5.02,5.08,0.52,65.09129967776583,28.29444063143446,34.975194897236,38.9941895736015,84.67432950191571,19.60281051442818,66.04693621786498,57.177411216745924,4.4264935064935065,0.6535064935064936,402,5,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
IDBI Ultra ST(G),Debt - Ultra Short Duration Fund,5.86,4.85,4.48,0.44,64.8764769065521,28.002745367192865,32.84904323175053,37.800640607343546,87.73946360153256,20.037112185569413,65.2947036576363,57.158862118463986,4.4264935064935065,0.053506493506493946,403,6,Open ended,CRISIL Ultra Short Term Debt Index,5000.0,1000.0
Aditya Birla SL Savings Fund-Reg(W-IDCW),Debt - Ultra Short Duration Fund,5.77,4.94,5.04,0.52,64.68313641245972,28.15717227179136,34.8334514528703,38.80050469046451,84.67432950191571,19.44960347623158,66.31229859209864,57.14690936873584,4.4264935064935065,0.6135064935064936,404,7,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
HSBC Value Fund-Reg(G),Equity - Value Fund,6.54,18.17,9.94,1.84,66.33727175080558,50.857927247769396,52.19702338766832,54.623344218326096,34.099616858237546,8.576614604908464,85.14486774736126,57.122793260562744,9.0436,0.8963999999999999,405,9,Open ended,NIFTY 500 - TRI,5000.0,1000.0
IDBI Ultra ST(M-IDCW),Debt - Ultra Short Duration Fund,5.86,4.85,4.44,0.44,64.8764769065521,28.002745367192865,32.707299787384834,37.729768885160695,87.73946360153256,20.069300213898998,65.23895235717399,57.10948843225699,4.4264935064935065,0.01350649350649391,406,8,Open ended,CRISIL Ultra Short Term Debt Index,5000.0,1000.0
